s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Um Dukhun,40610,SD10,11.139,22.966,Aj Jazirah,SD15,14.589485,33.27362,14135
Red Sea,40610,SD10,19.8416,35.70398,Sennar,SD14,12.907198,34.042836,8695
Red Sea,40610,SD10,19.8416,35.70398,Khartoum,SD01,15.851318,32.843002,3850
Kassala,40610,SD11,15.835927,35.856852,Aj Jazirah,SD15,14.589485,33.27362,65915
Kassala,40610,SD11,15.835927,35.856852,Sennar,SD14,12.907198,34.042836,21357
Kassala,40610,SD11,15.835927,35.856852,Khartoum,SD01,15.851318,32.843002,174
